
ellipse	236.69	155.871	24	17.52	2.94961	0.971709
ellipse	311.22	246.163	27	20.25	3.00197	0.931649
ellipse	250.711	276.921	28	20.72	2.77507	0.908392
ellipse	123.281	208.007	26	18.46	2.6529	0.908055
ellipse	379.789	156.097	23	18.17	0.122173	0.907688
ellipse	290.74	135.076	24	16.8	0.139626	0.870833
ellipse	212.087	225.196	26	20.54	2.70526	0.858707
ellipse	97.3799	165.463	24	16.56	2.58309	0.853357
ellipse	248.42	276.429	26	22.36	2.84489	0.852319
ellipse	326.605	175.794	24	18.96	2.98451	0.852233
ellipse	204.421	119.482	24	16.08	2.84489	0.846138
ellipse	152.16	141.263	24	15.12	2.82743	0.829167
ellipse	151.951	254.401	28	19.88	2.6529	0.817675
ellipse	185.438	309.283	32	22.72	2.72271	0.812371
ellipse	269.523	197.895	25	19	2.80998	0.806198
ellipse	257.5	100.43	24	15.6	0.157079	0.802715
ellipse	429.297	139.024	24	15.12	0.226892	0.784963
ellipse	421.592	198.4	22	19.58	3.07178	0.78125
ellipse	368.57	220.452	29	19.14	3.03687	0.777411
ellipse	429.985	138.933	24	17.04	0.191986	0.774949
ellipse	257.962	98.6917	23	16.1	2.82743	0.774774
ellipse	151.583	140.674	22	16.72	2.67035	0.75303
ellipse	369.375	220.455	27	16.47	3.08923	0.751908
ellipse	289.706	135.088	23	19.32	0.0698125	0.747954
ellipse	153.909	256.154	28	19.04	2.6529	0.745274
ellipse	98.8939	167.086	25	18.25	2.56563	0.744454
ellipse	272.636	199.518	26	16.12	2.89725	0.737953
ellipse	351.527	70.2838	20	13.8	0.157079	0.731005
ellipse	387.154	103.381	21	15.12	0.2618	0.724378
ellipse	250.962	277.417	29	24.07	2.82743	0.710484
ellipse	472.099	176.913	28	15.96	0.36652	0.69213
ellipse	153.5	253.31	30	22.2	2.63545	0.689458
ellipse	212.426	224.172	29	18.85	2.89725	0.683233
ellipse	341.658	116.816	24	17.28	2.89725	0.677679
ellipse	306	82	22	16.28	2.9147	0.677467
ellipse	425.286	196.271	26	23.4	2.87979	0.666666
ellipse	475.087	179.688	24	19.44	0.314159	0.665676
ellipse	120.875	208.18	28	21.28	2.84489	0.633888
ellipse	95.8432	166.389	29	16.24	2.77507	0.570138
